,,,,,,,,,,,,,
LISTADO DE RECURSOS DE GENERACIÓN,,,,,,,,,,,,,
,,,,,,,,,,,,,
Código SIC,Nombre Recurso,Capacidad Efectiva Neta [MW],Factor de Conversión,Es Menor,Tipo Despacho,Combustible por Defecto,Fecha Operación,Municipio,Departamento,Agente Representante,Estado Recurso,Tipo Generación,Clasificación
3JNR,AUTOG UNIBOL 1,5,7.5,SI,ND,GAS,02/11/2024,BARRANQUILLA,ATLÁNTICO,ENERCO S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
TCBE,TERMOCARIBE III 1,42,8.703,NO,DC,GAS,11/24/2022,SANTA ROSADE LIMA,BOLÍVAR,TERMO CARIBE S.A.S. E.S.P.,PRUEBAS,TERMICA,NORMAL
3C3X,AUTOG INGENIO MARIA LUISA,2,0,NO,ND,BAGAZO,08/14/2021,FLORIDA,VALLE DEL CAUCA,DEPI ENERGY S.A.S. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
3AXV,AGPE INGENIO DE OCCIDENTE,1,0,NO,ND,BAGAZO,03/04/2021,VILLA RICA,CAUCA,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOG PEQ. ESCALA
3AL6,AGPE ENTREPALMAS,1,0,NO,ND,BIOGAS,12/31/2020,SAN MARTIN,META,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOG PEQ. ESCALA
2YQO,AUTOG FERTICOL,17,1,NO,ND,GAS,02/28/2020,BARRANCABERMEJA,SANTANDER,CEMEX ENERGY S.A.S E.S.P.,INACTIVO,TERMICA,AUTOGENERADOR
2YWY,AUTOG TURGAS,4,1,NO,ND,GAS,02/08/2020,MARIQUITA,TOLIMA,TERMOPIEDRAS S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
2YB9,AUTOG ECOPETROL ORITO,4,0,NO,ND,GAS,11/07/2019,ORITO,PUTUMAYO,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,PRUEBAS,TERMICA,AUTOGENERADOR
2XXR,AGPE - ECOPETROL LA HORMIGA,1,1,NO,ND,GAS,09/16/2019,VALLE DEL GUAMUEZ,PUTUMAYO,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOG PEQ. ESCALA
2Y2T,AUTOG CDS TM2500,20,0,NO,ND,GAS,10/31/2019,VILLAVICENCIO,META,ELECTRIFICADORA DEL META S.A. E.S.P.,INACTIVO,TERMICA,AUTOGENERADOR
2XXX,AUTOG TERMOSURIA,20,0,NO,ND,GAS,10/31/2019,VILLAVICENCIO,META,ELECTRIFICADORA DEL META S.A. E.S.P.,INACTIVO,TERMICA,AUTOGENERADOR
TYP5,TERMOYOPAL G5,50,8.0585,NO,DC,GAS,02/11/2021,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,OPERACIÓN,TERMICA,NORMAL
TYP4,TERMOYOPAL G4,50,8.3937,NO,DC,GAS,08/31/2020,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,OPERACIÓN,TERMICA,NORMAL
TYP3,TERMOYOPAL G3,50,8.4932,NO,DC,GAS,08/31/2020,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,OPERACIÓN,TERMICA,NORMAL
2WFN,TERMOCAPACHOS,10,0,SI,ND,GAS,08/04/2019,TAME,ARAUCA,GENERSA S.A.S. E.S.P.,OPERACIÓN,TERMICA,NORMAL
2W4Y,AUTOG FAMILIA,1,1,NO,ND,GAS,03/23/2019,MEDELLÍN,ANTIOQUIA,DEPI ENERGY S.A.S. E.S.P.,INACTIVO,TERMICA,AUTOGENERADOR
2V27,AUTOG COCA-COLA FEMSA,2,1,NO,ND,GAS,07/25/2018,TOCANCIPA,CUNDINAMARCA,DEPI ENERGY S.A.S. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
2U91,TERMOMECHERO 6,19,0,SI,ND,GAS,02/02/2018,YOPAL,CASANARE,TERMO MECHERO MORRO S.A.S E.S.P ,OPERACIÓN,TERMICA,NORMAL
2U8Y,TERMOMECHERO 5,19,0,SI,ND,GAS,12/16/2017,YOPAL,CASANARE,TERMO MECHERO MORRO S.A.S E.S.P ,OPERACIÓN,TERMICA,NORMAL
